Date,User,Tweet
2020-06-03 00:09:47+00:00,imgoinscottie,"If we could get ALL black athletes to go to HBCUs we wouldn’t even think about schools like Clemson, Notre Dame, Bama and so on"
2020-04-11 15:32:52+00:00,GeorgiaFootball,"#UGAFanBracket Championship Region: Round 1

#2 Sea of red and black watches Godwin’s one-handed TD catch (2017 vs Notre Dame)
vs.
#7 Nick Chubb loses shoe during first career TD (2014 vs Clemson)"
2020-03-31 00:53:57+00:00,Hussery2,"-Yellow: Michigan 
- Gold: Notre Dame
- Green: Orgeon
- Red: Texas Tech 
- Maroon: Mississippi State
- Crimson: Alabama 
- Orange: Clemson
- Blue: Florida
- Navy Blue: Georgia Tech
- Purple: LSU
- White: Penn State
- Black: Wake Forrest 
- Silver: Air Force
- Gray: OSU
- Others https://t.co/bTnCPx1DMr"
2020-03-30 07:13:29+00:00,GreatTakes814,"@cheekimonk @CFBRanking Yellow: NDSU
Gold: Notre Dame
Green: Oregon
Red: Georgia
Maroon: Minnesota
Crimson: Alabama
Orange: Clemson
Blue: Florida
Navy Blue: Penn State
Purple: LSU
White: Ohio State
Black: Cincinnati
Silver: Nevada
Gray: UCF"
2020-03-29 16:24:49+00:00,ChadHunter85,"Thinking about Notre Dame's 2020 season getting cancelled is a deep, dark, black hole. Would miss out on Arkansas, Stanford, and CLEMSON at home. To make matters worse, Wisconsin at Legendary Lambeau Field on my birthday weekend 😭😰"
2020-01-23 17:24:40+00:00,RL_Bynum,"#UNC career-high minutes-played totals last night:
* Platek 49 (previous high 39 vs. Clemson on Jan. 11)
* Brooks 48 (39 in opener against Notre Dame)
* Black 47 (41 vs. Clemson on Jan. 11)
* Pierce 45 (32 at UNCW Nov. 9; he played 52 for W&amp;M against Hofstra on Jan. 10, 2019)"
2019-12-07 15:54:05+00:00,apthirteen,"If Clemson, LSU, and Baylor all win today, we will likely have our first College Football Playoff with 3 teams that have two school colors that aren’t white, grey, or black.

Previously
2015: Oregon, Florida State
2016: Clemson
2017: Clemson, Washington
2018: Clemson, Notre Dame https://t.co/EgitQj6WSS"
2019-11-12 02:01:57+00:00,j_bozarth,"@ksu_aviator @KStateFB Clemson has purple jerseys, Nebraska has black jerseys, Oklahoma has bring the wood uniforms, Notre Dame has the shamrock series (which at one point included yankee pinstripes), and Penn State wears faux-backs which is a ridiculous concept. Next 🙄"
2019-09-22 00:03:09+00:00,chris_awk,"NCAA - Clemson vs Notre Dame stats and key passes. Clemson in silver, Notre Dame in black.

Notre Dame might feel hard done by not getting out of here with a point. Such is life in the ACC. https://t.co/2dIXnkkRJL"
2019-09-20 17:54:53+00:00,Clay_Hall,"@jcc850 @SethWEmerson According to the Red and Black, this would be the biggest non-conference game since 1966. Clemson in '82 was big, but both Georgia and Notre Dame are higher ranked in this one.  https://t.co/jlF0G6ka0Q"
